City_ID,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
80,Little Current,CA,1673999330,45.9793,-81.9248,100,97,1.9,2.62
81,Chapais,CA,1673999330,49.7834,-74.8492,99,93,-11.12,0.85
82,Cayenne,GF,1673999093,4.9333,-52.3333,100,94,24.02,0.0
83,Imbituba,BR,1673999330,-28.24,-48.6703,100,96,23.41,2.22
84,Saskylakh,RU,1673998887,71.9167,114.0833,66,100,-33.83,3.03
85,Kokkola,FI,1673999331,63.8385,23.1307,100,95,0.09,4.63
86,Avarua,CK,1673998886,-21.2078,-159.775,100,74,28.03,4.12
87,Daru,PG,1673998894,-9.0763,143.2092,100,77,27.87,5.51
88,Kirakira,SB,1673998870,-10.4544,161.9205,100,82,27.45,5.11
89,Kruisfontein,ZA,1673998987,-34.0033,24.7314,100,92,23.27,1.47
90,Santa Isabel,BR,1673999332,-23.3156,-46.2214,85,97,24.84,1.53
91,Lindi,TZ,1673999332,-10.0,39.7167,97,97,22.65,1.26
92,Koumac,NC,1673999333,-20.5667,164.2833,100,84,24.35,2.36
93,Zharkent,KZ,1673999333,44.1628,80.0,3,81,-17.23,1.41
94,Broken Hill,AU,1673998882,-31.95,141.4333,31,40,29.46,8.98
95,Minzhu,CN,1673999334,43.7286,127.3447,6,95,-21.99,0.54
96,Samāstipur,IN,1673999334,25.85,85.7833,0,64,7.73,2.14
97,Vanimo,PG,1673999023,-2.6741,141.3028,100,86,26.67,2.06
98,Cotonou,BJ,1673999303,6.3654,2.4183,20,83,27.99,3.09
99,Zyryanka,RU,1673998885,65.75,150.85,100,97,-33.51,2.43
100,Tecolutla,MX,1673999334,20.4833,-97.0167,32,87,23.66,4.63
101,Tuktoyaktuk,CA,1673998867,69.4541,-133.0374,100,85,-18.0,5.14
102,Tasiilaq,GL,1673998891,65.6145,-37.6368,98,76,-8.91,5.02
103,Saint-Joseph,RE,1673999335,-21.3667,55.6167,97,78,25.82,6.62
104,Okhotsk,RU,1673998926,59.3833,143.3,100,92,-29.06,3.65
105,Paamiut,GL,1673999335,61.994,-49.6678,100,67,-7.64,4.06
106,Nome,US,1673998969,64.5011,-165.4064,75,71,-20.96,6.69
